ID,east,north,longitude,latitude
119247,146000,267000,-8.81736235450924,53.6501633191787
119248,146000,268000,-8.81753606819102,53.6591469282806
119249,146000,269000,-8.81770987582485,53.66813052343
119250,146000,270000,-8.81788377747918,53.6771141046281
119251,146000,271000,-8.81805777322252,53.6860976718759
119252,146000,272000,-8.81823186312344,53.6950812251744
119253,146000,273000,-8.8184060472506,53.7040647645249
119254,146000,274000,-8.81858032567272,53.7130482899283
119255,146000,275000,-8.81875469845857,53.7220318013859
119256,146000,276000,-8.81892916567701,53.7310152988986
119257,146000,277000,-8.81910372739695,53.7399987824676
119258,146000,278000,-8.8192783836874,53.748982252094
119259,146000,279000,-8.8194531346174,53.7579657077788
119260,146000,280000,-8.81962798025609,53.7669491495232
119261,146000,281000,-8.81980292067266,53.7759325773283
119262,146000,282000,-8.81997795593637,53.7849159911952
119263,146000,283000,-8.82015308611656,53.793899391125
119264,146000,284000,-8.82032831128263,53.8028827771187
119265,146000,285000,-8.82050363150406,53.8118661491776
119266,146000,286000,-8.82067904685037,53.8208495073027
119267,146000,287000,-8.82085455739119,53.829832851495
119268,146000,288000,-8.8210301631962,53.8388161817558
119269,146000,289000,-8.82120586433513,53.8477994980861
119270,146000,290000,-8.82138166087782,53.8567828004871
119271,146000,291000,-8.82155755289414,53.8657660889598
119272,146000,292000,-8.82173354045406,53.8747493635054
119273,146000,293000,-8.82190962362762,53.8837326241249
119274,146000,294000,-8.82208580248489,53.8927158708196
119275,146000,295000,-8.82226207709605,53.9016991035905
119276,146000,296000,-8.82243844753135,53.9106823224387
119277,146000,297000,-8.82261491386107,53.9196655273653
119278,146000,298000,-8.82279147615562,53.9286487183715
119279,146000,299000,-8.82296813448543,53.9376318954585
119280,146000,300000,-8.82314488892102,53.9466150586272
119281,146000,301000,-8.82332173953299,53.9555982078788
119282,146000,302000,-8.82349868639198,53.9645813432145
119283,146000,303000,-8.82367572956875,53.9735644646354
119284,146000,304000,-8.82385286913408,53.9825475721426
119285,146000,305000,-8.82403010515885,53.9915306657372
119286,146000,306000,-8.824207437714,54.0005137454203
119287,146000,307000,-8.82438486687054,54.0094968111932
119288,146000,308000,-8.82456239269958,54.0184798630569
119289,146000,309000,-8.82474001527224,54.0274629010125
119290,146000,310000,-8.82491773465978,54.0364459250612
119291,146000,311000,-8.82509555093349,54.0454289352041
