hectad,country,east,north,longitude,latitude
SS70,EN,270000,100000,-3.84551921599703,50.7849563104134
SS71,EN,270000,110000,-3.84906822779007,50.874834519005
SS72,EN,270000,120000,-3.85263546686217,50.9647111543735
SS73,EN,270000,130000,-3.85622105628785,51.0545862162211
SS74,EN,270000,140000,-3.85982512028619,51.1444597042518
SS75,EN,270000,150000,-3.86344778423408,51.2343316181716
SS80,EN,280000,100000,-3.70373108584992,50.7871142742461
SS81,EN,280000,110000,-3.70700780828568,50.8769993626344
SS82,EN,280000,120000,-3.71030136149209,50.9668829041843
SS83,EN,280000,130000,-3.71361185913494,51.0567648987852
SS84,EN,280000,140000,-3.7169394159373,51.1466453463305
SS90,EN,290000,100000,-3.56192623773456,50.7890999442526
SS91,EN,290000,110000,-3.56493055819452,50.8789913637004
SS92,EN,290000,120000,-3.56795031187147,50.9688812605953
SS93,EN,290000,130000,-3.57098560301041,51.0587696349993
SS94,EN,290000,140000,-3.57403653682623,51.14865648698
ST00,EN,300000,100000,-3.42010605985619,50.7909132743834
ST01,EN,300000,110000,-3.42283787505599,50.8808104758663
ST02,EN,300000,120000,-3.42558372496028,50.9707061769804
ST03,EN,300000,130000,-3.42834370438227,51.0606003779455
ST04,EN,300000,140000,-3.43111790901747,51.1504930789882
ST10,EN,310000,100000,-3.27827194136795,50.7925542225775
ST11,EN,310000,110000,-3.28073115736825,50.8824566568091
ST12,EN,310000,120000,-3.28320300868832,50.9723576107522
ST13,EN,310000,130000,-3.28568758069954,51.0622570847695
ST14,EN,310000,140000,-3.28818495956784,51.1521550792317
ST20,EN,320000,100000,-3.13642527228527,50.7940227507658
ST21,EN,320000,110000,-3.13861180450169,50.8839298682222
ST22,EN,320000,120000,-3.14080957186766,50.9738355233648
ST23,EN,320000,130000,-3.14301865030367,51.0637397166841
ST24,EN,320000,140000,-3.14523911643694,51.1536424486798
ST25,EN,320000,150000,-3.14747104760952,51.243543719861
ST30,EN,330000,100000,-2.99456744340016,50.7953188248736
ST31,EN,330000,110000,-2.99648121661216,50.8852300758186
ST32,EN,330000,120000,-2.99840482410485,50.9751398803169
ST33,EN,330000,130000,-3.0003383323398,51.0650482389718
ST34,EN,330000,140000,-3.00228180839733,51.1549551523971
ST35,EN,330000,150000,-3.00423531998362,51.2448606212167
ST36,EN,330000,160000,-3.006198935438,51.3347646460646
ST37,EN,330000,170000,-3.00817272374024,51.4246672275851
ST39,EN,330000,190000,-3.01215109805451,51.6044680632707
ST40,EN,340000,100000,-2.8526998461953,50.7964424148237
ST41,EN,340000,110000,-2.85434079455413,50.8863572493334
ST42,EN,340000,120000,-2.85599017571312,50.9762706511544
ST43,EN,340000,130000,-2.85764804666788,51.0661826209878
ST44,EN,340000,140000,-2.85931446494467,51.1560931595463
ST45,EN,340000,150000,-2.86098948860657,51.2460022675534
ST46,EN,340000,160000,-2.86267317625967,51.3359099457437
ST47,EN,340000,170000,-2.86436558705938,51.4258161948631
ST48,EN,340000,180000,-2.86606678071677,51.5157210156682
ST49,EN,340000,190000,-2.86777681750513,51.6056244089267
ST50,EN,350000,100000,-2.71082387275808,50.7973934945385
ST51,EN,350000,110000,-2.71219193979375,50.8873113625264
ST52,EN,350000,120000,-2.71356703762443,50.977227809473
ST53,EN,350000,130000,-2.71494921377371,51.0671428361624
ST54,EN,350000,140000,-2.71633851620771,51.1570564433908
ST55,EN,350000,150000,-2.71773499334016,51.2469686319661
ST56,EN,350000,160000,-2.71913869403764,51.3368794027082
ST57,EN,350000,170000,-2.72054966762478,51.4267887564488
ST58,EN,350000,180000,-2.72196796388959,51.5166966940314
ST59,EN,350000,190000,-2.7233936330889,51.6066032163113
ST60,EN,360000,100000,-2.56894091569454,50.7981720419417
ST61,EN,360000,110000,-2.57003605432176,50.8880923931837
ST62,EN,360000,120000,-2.57113682130136,50.97801133292
ST63,EN,360000,130000,-2.57224325467988,51.0679288620027
ST64,EN,360000,140000,-2.57335539285818,51.1578449812964
ST65,EN,360000,150000,-2.57447327459548,51.2477596916782
ST66,EN,360000,160000,-2.57559693901358,51.3376729940377
ST67,EN,360000,170000,-2.57672642560101,51.427584889277
ST68,EN,360000,180000,-2.57786177421732,51.5174953783107
ST69,EN,360000,190000,-2.57900302509739,51.6074044620656
ST70,EN,370000,100000,-2.42705236804322,50.7987780389606
ST71,EN,370000,110000,-2.42787454056634,50.8887003231197
ST72,EN,370000,120000,-2.42870093864898,50.9786212031961
ST73,EN,370000,130000,-2.42953159085657,51.0685406800947
ST74,EN,370000,140000,-2.4303665260206,51.1584587547336
ST75,EN,370000,150000,-2.43120577324165,51.2483754280435
ST76,EN,370000,160000,-2.43204936189253,51.3382907009683
ST77,EN,370000,170000,-2.43289732162141,51.428204574465
ST78,EN,370000,180000,-2.43374968235504,51.5181170495035
ST79,EN,370000,190000,-2.43460647430199,51.6080281270663
ST80,EN,380000,100000,-2.2851596231889,50.799211471527
ST81,EN,380000,110000,-2.28570880130596,50.8891351381784
ST82,EN,380000,120000,-2.28626080192666,50.9790574060568
ST83,EN,380000,130000,-2.28681564413233,51.0689782761048
ST84,EN,380000,140000,-2.28737334718201,51.1588977492785
ST85,EN,380000,150000,-2.28793393051453,51.2488158265472
ST86,EN,380000,160000,-2.28849741375054,51.3387325088938
ST87,EN,380000,170000,-2.28906381669464,51.4286477973142
ST88,EN,380000,180000,-2.28963315933754,51.5185616928179
ST89,EN,380000,190000,-2.29020546185822,51.6084741964276
ST90,EN,390000,100000,-2.14326407477638,50.7994723295783
ST91,EN,390000,110000,-2.14354023958204,50.8893968282346
ST92,EN,390000,120000,-2.14381782365979,50.9793199313135
ST93,EN,390000,130000,-2.14409683660481,51.0692416397804
ST94,EN,390000,140000,-2.14437728810167,51.1591619546143
ST95,EN,390000,150000,-2.14465918792533,51.2490808768077
ST96,EN,390000,160000,-2.14494254594218,51.3389984073667
ST97,EN,390000,170000,-2.14522737211115,51.4289145473111
ST98,EN,390000,180000,-2.14551367648471,51.5188292976739
ST99,EN,390000,190000,-2.14580146921003,51.6087426595021
SU00,EN,400000,100000,-2.00136711662413,50.7995606070586
SU01,EN,400000,110000,-2.0013702586117,50.8894853871946
SU02,EN,400000,120000,-2.00137341655145,50.9794087728345
SU03,EN,400000,130000,-2.00137659055142,51.0693307649514
SU04,EN,400000,140000,-2.00137978072065,51.159251364532
SU05,EN,400000,150000,-2.0013829871692,51.2491705725767
SU06,EN,400000,160000,-2.00138621000817,51.3390883900996
SU07,EN,400000,170000,-2.00138944934967,51.4290048181283
SU08,EN,400000,180000,-2.0013927053069,51.5189198577041
SU09,EN,400000,190000,-2.00139597799409,51.6088335098818
SU10,EN,410000,100000,-1.85947014263796,50.799476301919
SU11,EN,410000,110000,-1.85920026170037,50.8894008129966
SU12,EN,410000,120000,-1.85892899339408,50.979323928545
SU13,EN,410000,130000,-1.85865632833994,51.0692456495299
SU14,EN,410000,140000,-1.85838225707147,51.1591659769307
SU15,EN,410000,150000,-1.85810677003382,51.2490849117402
SU16,EN,410000,160000,-1.85782985758274,51.339002454965
SU17,EN,410000,170000,-1.85755150998359,51.428918607625
SU18,EN,410000,180000,-1.85727171741022,51.5188333707538
SU19,EN,410000,190000,-1.85699046994395,51.6087467453986
SU20,EN,420000,100000,-1.71757454672467,50.7992194161175
SU21,EN,420000,110000,-1.71703165215452,50.889143107611
SU22,EN,420000,120000,-1.71648596698113,50.9790654004277
SU23,EN,420000,130000,-1.71593747233918,51.0689862955112
SU24,EN,420000,140000,-1.71538614918768,51.1589057938181
SU25,EN,420000,150000,-1.71483197830786,51.2488238963186
SU26,EN,420000,160000,-1.71427494030122,51.338740603996
SU27,EN,420000,170000,-1.71371501558735,51.4286559178471
SU28,EN,420000,180000,-1.71315218440186,51.5185698388821
SU29,EN,420000,190000,-1.71258642679423,51.6084823681245
SU30,EN,430000,100000,-1.57568172270567,50.7987899556193
SU31,EN,430000,110000,-1.57486583319423,50.8887122770399
SU32,EN,430000,120000,-1.5740457500187,50.9786331945225
SU33,EN,430000,130000,-1.5732214448296,51.0685527089729
SU34,EN,430000,140000,-1.57239288901344,51.1584708213101
SU35,EN,430000,150000,-1.57156005368963,51.2483875324661
SU36,EN,430000,160000,-1.57072290970745,51.3383028433857
SU37,EN,430000,170000,-1.56988142764288,51.4282167550271
SU38,EN,430000,180000,-1.56903557779541,51.5181292683609
SU39,EN,430000,190000,-1.56818533018487,51.6080403843713
SU40,EN,440000,100000,-1.43379306423067,50.7981879303959
SU41,EN,440000,110000,-1.43270420786589,50.8881083313174
SU42,EN,440000,120000,-1.4316097550372,50.9780273209259
SU43,EN,440000,130000,-1.43050966791393,51.0679449000749
SU44,EN,440000,140000,-1.42940390831314,51.1578610696304
SU45,EN,440000,150000,-1.42829243769552,51.2477758304709
SU46,EN,440000,160000,-1.42717521716128,51.3376891834874
SU47,EN,440000,170000,-1.42605220744595,51.4276011295834
SU48,EN,440000,180000,-1.42492336891615,51.5175116696748
SU49,EN,440000,190000,-1.42378866156528,51.6074208046902
SU50,EN,450000,100000,-1.29190996469134,50.7974133544248
SU51,EN,450000,110000,-1.29054817895492,50.8873312845078
SU52,EN,450000,120000,-1.28917939430302,50.9772477937904
SU53,EN,450000,130000,-1.28780356342783,51.0671628830584
SU54,EN,450000,140000,-1.28642063858103,51.1570765531097
SU55,EN,450000,150000,-1.28503057156869,51.2469888047539
SU56,EN,450000,160000,-1.28363331374614,51.3368996388128
SU57,EN,450000,170000,-1.28222881601269,51.4268090561198
SU58,EN,450000,180000,-1.28081702880639,51.5167170575202
SU59,EN,450000,190000,-1.27939790209861,51.606623643871
SU60,EN,460000,100000,-1.15003381713505,50.796466245688
SU61,EN,460000,110000,-1.14839914889846,50.8863811547056
SU62,EN,460000,120000,-1.1467560797303,50.9762946313234
SU63,EN,460000,130000,-1.14510455285065,51.0662066762449
SU64,EN,460000,140000,-1.14344451095088,51.1561172901844
SU65,EN,460000,150000,-1.14177589618761,51.2460264738678
SU66,EN,460000,160000,-1.14009865017651,51.3359342280318
SU67,EN,460000,170000,-1.13841271398601,51.4258405534242
SU68,EN,460000,180000,-1.13671802813092,51.515745450804
SU69,EN,460000,190000,-1.13501453256604,51.6056489209409
SU70,EN,470000,100000,-1.00816601417863,50.7953466261709
SU71,EN,470000,110000,-1.00625851969816,50.8852579640331
SU72,EN,470000,120000,-1.00434122279268,50.9751678557858
SU73,EN,470000,130000,-1.00241405721613,51.0650763020346
SU74,EN,470000,140000,-1.00047695610573,51.1549833033957
SU75,EN,470000,150000,-0.998529851974812,51.2448888604954
SU76,EN,470000,160000,-0.996572676705667,51.3347929739703
SU77,EN,470000,170000,-0.994605361542179,51.424695644467
SU78,EN,470000,180000,-0.992627837082422,51.5145968726422
SU79,EN,470000,190000,-0.990640033271132,51.6044966591629
SU80,EN,480000,100000,-0.866307947922248,50.7940545218603
SU81,EN,480000,110000,-0.86412769283307,50.8839617386395
SU82,EN,480000,120000,-0.861936234435138,50.97386749349
SU83,EN,480000,130000,-0.859733497023297,51.063771786905
SU84,EN,480000,140000,-0.857519404187684,51.1536746193872
SU85,EN,480000,150000,-0.855293878805603,51.2435759914482
SU86,EN,480000,160000,-0.85305684303327,51.3334759036089
SU87,EN,480000,170000,-0.850808218297455,51.4233743563993
SU88,EN,480000,180000,-0.848547925287004,51.5132713503584
SU89,EN,480000,190000,-0.846275883944236,51.603166886034
SU90,EN,490000,100000,-0.724461009863302,50.792589962743
SU91,EN,490000,110000,-0.722008069172559,50.8824925086983
SU92,EN,490000,120000,-0.719542524985979,50.9723935747982
SU93,EN,490000,130000,-0.717064292147329,51.0622931614085
SU94,EN,490000,140000,-0.714573284707818,51.1521912689031
SU95,EN,490000,150000,-0.712069415916943,51.2420878976639
SU96,EN,490000,160000,-0.709552598213222,51.3319830480807
SU97,EN,490000,170000,-0.707022743214788,51.4218767205512
